competencia,fator,arquivo_origem
2016-07-01,1.1796,01_2021_art_33_normal_gab-1.xlsx
2016-08-01,1.172097,01_2021_art_33_normal_gab-1.xlsx
2016-09-01,1.168478,01_2021_art_33_normal_gab-1.xlsx
2016-10-01,1.167543,01_2021_art_33_normal_gab-1.xlsx
2016-11-01,1.16556,01_2021_art_33_normal_gab-1.xlsx
2016-12-01,1.164746,01_2021_art_33_normal_gab-1.xlsx
2017-01-01,1.163119,01_2021_art_33_normal_gab-1.xlsx
2017-02-01,1.158251,01_2021_art_33_normal_gab-1.xlsx
2017-03-01,1.155478,01_2021_art_33_normal_gab-1.xlsx
2017-04-01,1.151795,01_2021_art_33_normal_gab-1.xlsx
2017-05-01,1.150876,01_2021_art_33_normal_gab-1.xlsx
2017-06-01,1.146743,01_2021_art_33_normal_gab-1.xlsx
2017-07-01,1.150195,01_2021_art_33_normal_gab-1.xlsx
2017-08-01,1.148245,01_2021_art_33_normal_gab-1.xlsx
2017-09-01,1.148588,01_2021_art_33_normal_gab-1.xlsx
2017-10-01,1.148819,01_2021_art_33_normal_gab-1.xlsx
2017-11-01,1.144582,01_2021_art_33_normal_gab-1.xlsx
2017-12-01,1.142525,01_2021_art_33_normal_gab-1.xlsx
2018-01-01,1.139564,01_2021_art_33_normal_gab-1.xlsx
2018-02-01,1.13695,01_2021_art_33_normal_gab-1.xlsx
2018-03-01,1.134906,01_2021_art_33_normal_gab-1.xlsx
2018-04-01,1.134113,01_2021_art_33_normal_gab-1.xlsx
2018-05-01,1.131735,01_2021_art_33_normal_gab-1.xlsx
2018-06-01,1.126892,01_2021_art_33_normal_gab-1.xlsx
2018-07-01,1.111003,01_2021_art_33_normal_gab-1.xlsx
2018-08-01,1.108231,01_2021_art_33_normal_gab-1.xlsx
2018-09-01,1.108231,01_2021_art_33_normal_gab-1.xlsx
2018-10-01,1.104915,01_2021_art_33_normal_gab-1.xlsx
2018-11-01,1.100514,01_2021_art_33_normal_gab-1.xlsx
2018-12-01,1.103273,01_2021_art_33_normal_gab-1.xlsx
2019-01-01,1.101731,01_2021_art_33_normal_gab-1.xlsx
2019-02-01,1.097779,01_2021_art_33_normal_gab-1.xlsx
2019-03-01,1.091883,01_2021_art_33_normal_gab-1.xlsx
2019-04-01,1.08354,01_2021_art_33_normal_gab-1.xlsx
2019-05-01,1.077077,01_2021_art_33_normal_gab-1.xlsx
2019-06-01,1.075464,01_2021_art_33_normal_gab-1.xlsx
2019-07-01,1.075357,01_2021_art_33_normal_gab-1.xlsx
2019-08-01,1.07428,01_2021_art_33_normal_gab-1.xlsx
